axis,fine_path,fine_label,fine_pitch_mm,coarse_path,coarse_label,coarse_pitch_mm,knot_spacing_mm,knots,support_min_mm,support_max_mm,max_knot_offset_mm,mean_abs_difference_mm_s,median_abs_difference_mm_s,max_abs_difference_mm_s,max_abs_difference_depth_mm,knots_above_screening_threshold,fraction_above_screening_threshold,max_abs_difference_over_screening_threshold,depth_ranges_above_screening_threshold_mm,fine_variance_share_at_coarse_knots,fine_detail_rms_mm_s,fine_detail_max_abs_mm_s,fine_detail_variance_share
res,res/0-2.BDD,0-2,0.246666666667,res/2-5.BDD,2-5,2.46666666667,2.46666666667,36,10.1626666667,96.7426666667,0,3.6407492961,3.06325779545,9.00021765048,42.2293333333,0,0,0.464645327729,,1.05528129785,1.87393589109,9.16462052062,0.00748472221017
res,res/0-2.BDD,0-2,0.246666666667,res/3-0.BDD,3-0,2.96,2.96,30,10.1626666667,96.7426666667,0,2.64967308568,2.25827798261,8.31966338865,45.6826666667,0,0,0.429511026504,,1.01903912177,2.50462245213,13.8495198166,0.0133947062482
res,res/0-4.BDD,0-4,0.37,res/0-6.BDD,0-6,0.616666666667,0.616666666667,141,10.1626666667,96.7426666667,0.123333333333,3.43399457078,2.6651429964,11.5739263712,42.2293333333,0,0,0.597515640252,,0.99138888761,0.685190081915,3.86073776881,0.00108413124129
res,res/0-4.BDD,0-4,0.37,res/0-8.BDD,0-8,0.74,0.74,118,10.1626666667,96.7426666667,0,3.63301251313,2.94379752736,12.5459688879,42.7226666667,0,0,0.647698317082,,1.00863189098,0.752073139373,3.37662509333,0.00130614472334
res,res/0-4.BDD,0-4,0.37,res/1-0.BDD,1-0,0.986666666667,0.986666666667,88,10.1626666667,96.7426666667,0.123333333333,2.42949908616,2.07236833252,6.58980317237,61.4693333333,0,0,0.340205245429,,0.969858118092,0.828932389476,3.86073776881,0.00158585480318
res,res/0-4.BDD,0-4,0.37,res/1-2.BDD,1-2,1.23333333333,1.23333333333,71,10.1626666667,96.7426666667,0.123333333333,2.95508470544,2.32023167017,11.7715613714,85.396,0,0,0.607718746782,,1.00748761405,1.07594917577,5.04304309688,0.00267196363992
res,res/0-4.BDD,0-4,0.37,res/1-4.BDD,1-4,1.35666666667,1.35666666667,64,10.1626666667,96.7426666667,0.123333333333,4.30886846475,4.11128427507,10.768746445,86.136,0,0,0.555947413217,,0.958984209477,1.21475751909,6.40293749686,0.00340491380367
res,res/0-4.BDD,0-4,0.37,res/1-6.BDD,1-6,1.60333333333,1.60333333333,55,10.1626666667,96.7426666667,0.123333333333,4.66527378755,3.90363469262,16.2872097279,43.8326666667,0,0,0.840843654641,,1.02346244817,1.41160703221,7.72877371866,0.00457963923794
res,res/0-4.BDD,0-4,0.37,res/1-8.BDD,1-8,1.85,1.85,47,10.1626666667,96.7426666667,0,2.91937448309,2.18928855428,9.82329804916,45.3126666667,0,0,0.507137684741,,0.947083385355,1.39919546128,6.40293749686,0.00451983385327
res,res/0-4.BDD,0-4,0.37,res/2-0.BDD,2-0,1.97333333333,1.97333333333,44,10.1626666667,96.7426666667,0.123333333333,4.85824725401,5.38049012217,13.2393050439,43.7093333333,0,0,0.683492496506,,0.935546066164,1.57283950067,7.72877371866,0.00570685676091
