axis,short_path,short_label,short_cycles,long_path,long_label,long_cycles,cycle_gap,knots,knot_spacing_mm,max_knot_offset_mm,mean_abs_difference_mm_s,max_abs_difference_mm_s,max_abs_difference_depth_mm,knots_above_envelope,max_abs_difference_over_envelope,depth_ranges_above_envelope_mm,correlation_length_change_mm,gradient_median_change_mm_s_per_mm,robust_spread_change_mm_s,zero_fraction_change,hf_share_change,acf_e_folding_lag_change_s
burst_len,burst_len/8.BDD,8,8,burst_len/28.BDD,28,28,20,50,1.85,0,7.56300898041,40.0116127238,10.1626666667,1,2.06563992438,10.1627..10.1627,-3.7,-0.0869648665038,-5.28239093288,0.0114979757085,-0.0286905741241,0
burst_len,burst_len/8.BDD,8,8,burst_len/32.BDD,32,32,24,50,1.85,0,9.25815187599,24.1108115908,10.1626666667,4,1.24474500378,10.1627..10.1627; 86.0127..89.7127,-1.85,-0.362353610433,-1.23101403835,0.0036032388664,-0.0243658791333,0.0223892238794
burst_len,burst_len/12.BDD,12,12,burst_len/14.BDD,14,14,2,50,1.85,0,3.35791377843,10.4770264096,86.0126666667,0,0.540887071707,,-1.85,-0.202918021842,-1.28647061137,-0.00178137651822,0.00711526597792,0
burst_len,burst_len/12.BDD,12,12,burst_len/16.BDD,16,16,4,50,1.85,0,3.49978509929,7.7371060549,63.8126666667,0,0.399435915682,,-1.85,-0.474353817293,-0.634398818774,-0.00085020242915,-0.00512731907863,0
burst_len,burst_len/12.BDD,12,12,burst_len/18.BDD,18,18,6,50,1.85,0,3.82940434338,9.76766980529,41.6126666667,0,0.504265820459,,-1.85,-0.177882681485,-2.79172045034,0.000121457489879,0.00867202313834,0
burst_len,burst_len/12.BDD,12,12,burst_len/20.BDD,20,20,8,50,1.85,0,4.35359693508,11.6812262807,65.6626666667,0,0.603055106473,,0,-0.499389157651,-0.730686055437,-0.000688259109312,0.00590540999028,0
burst_len,burst_len/12.BDD,12,12,burst_len/24.BDD,24,24,12,50,1.85,0,5.95362266675,12.5977832677,15.7126666667,0,0.650373286781,,-1.85,-0.289882888346,-5.32139335786,0.00117408906883,-0.00242972552992,0
burst_len,burst_len/12.BDD,12,12,burst_len/28.BDD,28,28,16,50,1.85,0,7.97385077452,35.7457224918,10.1626666667,1,1.845409032,10.1627..10.1627,-1.85,-0.0698354231015,-4.31586208891,0.0121052631579,-0.00587524731893,0
burst_len,burst_len/12.BDD,12,12,burst_len/32.BDD,32,32,20,50,1.85,0,6.24029049033,19.8449213588,10.1626666667,1,1.02451411139,10.1627..10.1627,0,-0.34522416703,-0.264485194378,0.00421052631579,-0.00155055232813,0.0223892238794
burst_len,burst_len/14.BDD,14,14,burst_len/16.BDD,16,16,2,50,1.85,0,1.37288535921,4.62666266295,76.7626666667,0,0.238856133574,,0,-0.271435795451,0.652071792592,0.000931174089069,-0.0122425850565,0
